device=cuda
tiles=29117  micro-batches/epoch=909  opt-steps/epoch=909
eff_batch=32 (batch 32 x accum 1)  base_lr=1.87e-05  warmup=909  total_steps=45450  recon=l2  augment=True

==============================================================================
run started 2026-07-28 12:15:12
args: {'data_root': '../SEN12MSCR/ROIs1158_spring_s2', 'pattern': '**/*.tif', 'img_size': 256, 'patch_size': 16, 'model_size': 'small', 'batch_size': 128, 'accum_steps': 4, 'epochs': 100, 'max_steps': 0, 'lr': 0.00015, 'no_lr_scaling': False, 'weight_decay': 0.05, 'warmup_steps': 0, 'recon_loss': 'l1', 'no_muon': False, 'muon_lr': 0.02, 'cmmd_weight': 0.0, 'cmmd_sigma': 0.0, 'norm_pix_loss': True, 'augment': True, 'no_normalize': False, 'val_fraction': 0.05, 'eval_every': 250, 'eval_batches': 16, 'num_workers': 16, 'amp': True, 'out': 'mae_backbone_small.pt', 'ckpt_every': 500, 'resume': '', 'log_file': 'train_log.txt'}
device=cuda
tiles=27661  val_tiles=1456  micro-batches/epoch=216  opt-steps/epoch=54
eff_batch=512 (batch 128 x accum 4)  base_lr=3.00e-04  muon_lr=4.00e-02 (muon=True)  warmup=54  total_steps=5400  recon=l1  norm_pix_loss=True  cmmd_weight=0.0  augment=True  normalize=True
model_size=small  encoder=21.6M  decoder=3.5M  mask_ratio=0.75
muon params=24.4M  adamw params=0.7M
epoch  18 | step   980/5400 | loss 0.4079 | lr 2.78e-04 | 0.5 opt-it/s
  VAL step  1000 | loss 0.3971 | psnr_norm 3.97dB | psnr_pix 31.92dB | ssim 0.8895  <-- best
  checkpoint -> mae_backbone_small.pt.ckpt (step 1000)
epoch  18 | step  1000/5400 | loss 0.3721 | lr 2.77e-04 | 0.5 opt-it/s
epoch  18 | step  1020/5400 | loss 0.4132 | lr 2.76e-04 | 0.5 opt-it/s
epoch  19 | step  1040/5400 | loss 0.4186 | lr 2.76e-04 | 0.5 opt-it/s
epoch  19 | step  1060/5400 | loss 0.4186 | lr 2.75e-04 | 0.5 opt-it/s
epoch  20 | step  1080/5400 | loss 0.4039 | lr 2.74e-04 | 0.5 opt-it/s
epoch  20 | step  1100/5400 | loss 0.4142 | lr 2.73e-04 | 0.5 opt-it/s
epoch  20 | step  1120/5400 | loss 0.3982 | lr 2.72e-04 | 0.5 opt-it/s
epoch  21 | step  1140/5400 | loss 0.3849 | lr 2.70e-04 | 0.5 opt-it/s
epoch  21 | step  1160/5400 | loss 0.4058 | lr 2.69e-04 | 0.5 opt-it/s
epoch  21 | step  1180/5400 | loss 0.4070 | lr 2.68e-04 | 0.5 opt-it/s
epoch  22 | step  1200/5400 | loss 0.3995 | lr 2.67e-04 | 0.5 opt-it/s
epoch  22 | step  1220/5400 | loss 0.3913 | lr 2.66e-04 | 0.5 opt-it/s
epoch  22 | step  1240/5400 | loss 0.4034 | lr 2.65e-04 | 0.5 opt-it/s
  VAL step  1250 | loss 0.3947 | psnr_norm 4.03dB | psnr_pix 31.96dB | ssim 0.8903  <-- best
epoch  23 | step  1260/5400 | loss 0.4213 | lr 2.64e-04 | 0.5 opt-it/s
epoch  23 | step  1280/5400 | loss 0.4021 | lr 2.63e-04 | 0.5 opt-it/s
epoch  24 | step  1300/5400 | loss 0.3714 | lr 2.62e-04 | 0.5 opt-it/s
epoch  24 | step  1320/5400 | loss 0.4123 | lr 2.60e-04 | 0.5 opt-it/s
epoch  24 | step  1340/5400 | loss 0.3951 | lr 2.59e-04 | 0.5 opt-it/s
epoch  25 | step  1360/5400 | loss 0.3715 | lr 2.58e-04 | 0.5 opt-it/s
epoch  25 | step  1380/5400 | loss 0.4140 | lr 2.57e-04 | 0.5 opt-it/s
epoch  25 | step  1400/5400 | loss 0.3771 | lr 2.55e-04 | 0.5 opt-it/s
epoch  26 | step  1420/5400 | loss 0.3782 | lr 2.54e-04 | 0.5 opt-it/s
epoch  26 | step  1440/5400 | loss 0.4076 | lr 2.53e-04 | 0.5 opt-it/s
epoch  27 | step  1460/5400 | loss 0.3928 | lr 2.52e-04 | 0.5 opt-it/s
epoch  27 | step  1480/5400 | loss 0.4041 | lr 2.50e-04 | 0.5 opt-it/s
  VAL step  1500 | loss 0.3932 | psnr_norm 4.04dB | psnr_pix 31.99dB | ssim 0.8909  <-- best
  checkpoint -> mae_backbone_small.pt.ckpt (step 1500)
epoch  27 | step  1500/5400 | loss 0.3871 | lr 2.49e-04 | 0.5 opt-it/s
epoch  28 | step  1520/5400 | loss 0.3845 | lr 2.48e-04 | 0.5 opt-it/s
epoch  28 | step  1540/5400 | loss 0.4118 | lr 2.46e-04 | 0.5 opt-it/s
epoch  28 | step  1560/5400 | loss 0.3847 | lr 2.45e-04 | 0.5 opt-it/s
epoch  29 | step  1580/5400 | loss 0.3860 | lr 2.44e-04 | 0.5 opt-it/s
epoch  29 | step  1600/5400 | loss 0.3955 | lr 2.42e-04 | 0.5 opt-it/s
