layer,spatial,gap_r2_VV,gap_r2_VH,gap_r2_VVVH,gap_mean,prenorm_r2_VV,prenorm_r2_VH,prenorm_r2_VVVH,prenorm_mean
0,128,0.000000,0.000000,0.000000,0.000000,0.999987,0.999991,0.999944,0.999974
1,64,0.999610,0.999782,0.999587,0.999659,0.999734,0.999739,0.999722,0.999732
2,32,0.166487,0.494471,0.182192,0.281050,0.727412,0.928877,0.867714,0.841334
3,16,0.000000,0.000000,0.000000,0.000000,0.719842,0.892288,0.583661,0.731930
4,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.236379,0.000000,0.078793
5,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
